CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
98222,36,37,72
97104,41,40,81
98671,38,39,77
99187,41,38,79
97821,41,40,81
97403,39,41,80
97854,38,42,80
98518,41,39,80
97737,39,39,79
99153,40,39,79
96839,40,39,79
96338,41,39,79
101137,39,39,78
97201,40,41,81
96975,41,39,80
97035,40,40,79
97651,41,40,80
98889,41,39,79
97827,40,41,81
98009,43,37,80
97590,41,39,80
97623,37,41,78
96934,42,39,81
97802,40,39,79
97240,41,38,79
97056,41,38,78
97011,41,41,82
96336,38,41,79
97625,38,38,76
96583,41,38,78
96619,40,37,77
97080,37,41,78
98055,41,38,79
97415,40,42,81
97321,39,38,78
97461,40,41,81
96652,39,41,81
96912,42,40,82
97330,39,40,79
95736,40,37,76
95695,39,38,78
97451,40,42,82
96396,39,38,77
96970,38,41,79
96797,38,38,76
97066,40,41,80
97350,40,38,78
97513,41,39,79
98596,41,40,81
98188,40,40,80
96371,38,39,77
97181,41,39,79
97541,41,39,80
97880,43,38,80
97679,38,40,78
98101,40,37,77
98137,40,40,80
97489,40,39,79
888.3604213533755,1.434954740117792,1.3679711361135392,1.7756604812463155
95695,36,37,72
101137,43,42,82
