CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
46941,46,40,86
46768,44,43,87
46786,46,42,89
46810,47,43,90
46686,50,41,91
46575,45,41,86
46593,48,41,89
46765,45,43,88
46626,47,42,89
46961,47,41,88
47266,47,43,90
47475,46,43,89
47000,47,45,92
47252,47,43,90
47087,45,43,88
47300,47,43,90
47286,48,42,89
47253,48,42,91
47109,49,42,91
47379,47,43,89
47331,48,41,89
47191,47,41,88
47402,46,44,91
47297,46,43,89
47457,48,41,89
47088,45,44,89
47281,47,43,90
47236,47,42,88
46864,47,42,89
47302,47,42,89
47061,46,45,91
47226,45,43,88
47104,47,42,89
47015,46,44,89
47359,46,42,89
46894,46,44,89
47062,49,42,91
47390,47,45,92
47145,45,44,89
47297,48,42,90
47173,45,44,90
47174,46,44,89
47266,46,43,89
47176,47,44,91
46957,45,44,88
47184,48,39,88
47165,46,42,87
47137,46,43,89
46901,47,42,89
46936,47,43,91
47368,45,44,89
47121,47,42,89
47092,47,43,91
47129,47,41,88
46849,48,43,91
47137,47,43,90
46816,45,43,89
47097,47,43,89
223.39667518666604,1.1792292896004244,1.2248076965408463,1.30486694609032
46575,44,39,86
47475,50,45,92
