CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
28326235,17,17,34
28421791,17,17,33
28417050,17,17,33
28388970,17,17,33
28401021,17,17,33
28394035,17,17,33
28419412,17,17,33
28416005,17,17,33
28401950,17,17,33
28393614,17,17,33
28422280,17,17,33
28400447,17,17,33
28415716,17,17,33
28407367,17,17,33
28403749,17,17,33
28405297,17,17,33
28412450,17,17,33
28379391,17,17,33
28406934,17,17,33
28384943,17,17,33
28412484,17,17,33
28412379,17,17,33
28401616,17,17,33
28021273,17,17,33
28407217,16,16,33
28415334,17,17,33
28423582,17,17,33
28403726,17,17,33
28397804,17,17,33
28418604,17,17,33
28386687,17,17,33
28408465,17,17,33
28392426,17,17,33
28398166,17,17,33
28386584,17,17,33
28420987,17,17,33
28397866,17,17,33
28404733,17,17,33
28406661,17,17,33
28417499,17,17,33
28414032,17,17,33
28396536,17,17,33
28413098,17,17,33
28381352,17,17,33
28400746,17,17,33
28413863,17,17,33
28396593,17,17,33
28422366,17,17,33
28406294,17,17,33
28403927,17,17,33
28410205,17,17,33
28393526,17,17,33
28414454,17,17,33
28037486,17,17,33
28400593,17,17,33
28390756,17,17,33
28424162,17,17,33
28390750,17,17,33
70592.76652557745,0.13128622409733123,0.13128622409733123,0.1312862240973312
28021273,16,16,33
28424162,17,17,34
