CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
55768,15,17,32
55424,15,18,33
55726,15,18,33
54693,14,18,32
54496,15,17,32
55146,15,17,32
54513,17,18,34
54179,15,17,32
55118,16,17,33
53984,16,18,34
53943,15,17,33
55262,14,17,31
54591,16,17,33
55218,14,17,31
54779,16,17,32
56602,15,17,32
53792,16,18,34
53838,16,17,33
54380,14,18,32
56122,15,17,32
54850,15,17,32
54662,12,17,30
54237,15,17,32
54758,14,17,31
55468,15,17,32
54022,14,17,32
54028,15,18,33
54473,14,18,32
54622,16,17,33
54592,16,17,33
53957,14,18,32
53237,15,18,33
55373,15,17,33
55157,16,17,33
56375,15,18,33
56197,16,18,34
53913,15,17,32
53698,15,18,33
54342,13,18,32
55560,15,17,32
54508,15,18,33
55784,14,17,31
57356,15,17,32
55788,15,18,32
55135,16,18,34
54154,15,18,33
54089,15,18,33
54250,14,17,31
54584,14,18,31
55339,13,17,31
55571,16,17,33
55455,15,17,32
55409,15,17,32
55395,16,17,33
54470,15,17,32
54572,15,17,31
54681,14,17,32
54871,15,17,32
803.4696194398895,0.8955964223228227,0.48237638894271995,0.8852263727398506
53237,12,17,30
57356,17,18,34
