CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
112025,13,19,32
111869,12,18,29
108860,12,17,30
111043,12,18,30
111226,14,18,32
108261,11,18,29
111442,12,18,30
110355,12,18,31
111059,11,19,31
111351,12,19,31
111198,13,19,32
111572,13,20,33
112967,13,20,33
112572,11,19,31
112204,14,18,33
109458,13,19,32
110264,14,19,33
111780,11,18,30
111270,14,19,33
111587,12,18,30
111245,13,18,31
113239,12,18,30
112519,13,20,33
110740,12,20,32
108737,13,18,31
108725,11,17,28
109642,11,19,30
111835,13,19,31
109513,12,18,30
110189,12,18,30
111099,11,20,31
111570,13,18,31
109545,13,18,31
110381,13,18,31
110029,14,18,32
110511,14,18,32
111729,11,19,31
110733,12,18,30
112017,14,20,34
113941,12,19,31
112197,13,19,32
111568,13,18,31
110782,12,18,30
111338,13,18,31
112897,14,18,32
110827,13,17,31
111927,13,19,32
112694,12,18,31
111142,14,19,33
111073,12,21,32
111604,13,18,31
111899,12,18,31
111294,10,19,28
111195,14,18,33
111152,14,18,32
111191,13,21,33
109854,13,18,31
111139,13,19,31
1147.8759945487093,1.0090388662840983,0.879995523086628,1.2668075928796971
108261,10,17,28
113941,14,21,34
