CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
53218,6,8,14
54069,6,4,10
60595,5,6,12
60859,6,7,13
59067,7,4,11
59891,7,4,11
58489,5,6,11
59582,5,6,11
58156,7,5,13
57485,6,4,11
56200,5,5,9
62631,6,5,12
64851,6,8,14
59480,8,5,13
63980,6,7,12
62346,6,5,12
58202,6,7,14
53298,5,6,12
62190,5,7,12
56649,6,7,13
54116,4,7,11
60897,4,4,8
60583,4,4,8
56827,6,7,13
56599,4,7,10
57338,5,6,11
67482,2,8,10
58900,6,7,13
54358,5,5,10
54453,6,4,10
56920,4,5,8
56720,4,5,10
54116,3,8,11
53296,4,5,9
54678,4,5,9
55754,6,5,11
58604,4,5,9
60902,6,5,12
57255,4,6,10
59007,4,5,9
60716,6,7,13
58407,4,8,12
57277,4,5,9
57227,4,6,10
63180,7,5,12
56320,5,7,12
57148,5,6,11
62359,7,6,13
57657,5,6,11
59715,6,6,12
64355,5,6,11
59378,3,7,10
66930,5,5,10
61001,5,7,12
62251,6,6,12
61295,4,7,12
54722,5,4,9
58772,5,6,11
3365.9452980494757,1.1666336890207927,1.1963317278057766,1.5524085477634342
53218,2,4,8
67482,8,8,14
