CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
65150,16,16,32
64670,16,17,32
65119,14,17,31
65625,15,17,31
65435,15,17,32
63550,16,17,33
65473,15,17,32
65267,14,17,31
65119,15,17,32
65795,15,17,32
64931,12,17,29
65202,13,17,30
64957,14,17,31
67699,16,17,32
67696,16,17,33
64352,15,17,32
66241,15,17,32
67073,16,17,33
67646,16,17,33
65808,15,17,32
64736,16,17,33
64045,16,17,33
65092,16,17,33
65939,14,17,31
66059,14,17,31
65747,13,17,29
66842,15,17,32
66080,16,17,33
65287,13,17,30
64287,13,17,29
65396,15,17,32
63995,14,17,31
64885,16,17,32
63827,16,17,33
64932,14,17,31
63833,15,17,31
64467,16,17,32
65892,16,17,32
65798,16,17,33
66401,14,17,31
67106,14,17,31
67005,16,17,33
66103,15,17,32
67794,17,17,33
67891,15,17,32
66621,14,17,31
64298,13,17,30
62471,15,16,31
67477,16,17,33
67397,16,17,33
67172,16,17,32
67225,16,17,32
67317,16,17,32
67332,16,17,33
66623,16,17,32
67012,16,17,32
65645,16,17,32
65769,15,17,32
1254.3084046687945,1.0967368146026515,0.18400155231055293,1.0599163134732075
62471,12,16,29
67891,17,17,33
