CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
119293,12,17,29
119584,14,17,32
120361,13,18,31
120691,12,18,30
120618,13,18,31
118556,13,17,31
118805,12,17,29
118128,14,18,32
118804,13,18,31
119099,13,20,33
119606,13,19,31
118246,14,19,32
117765,13,17,30
119190,12,18,29
119676,14,18,32
119208,12,18,30
119194,11,20,31
120104,13,18,31
118589,13,17,31
119429,15,17,32
117632,13,19,32
117692,14,19,33
118698,14,18,32
119022,13,18,31
118552,14,18,32
120231,12,18,30
118505,11,19,31
118470,12,18,30
117905,14,20,34
118842,13,19,32
120346,13,18,32
118615,13,18,32
121897,12,19,31
121295,13,18,31
118840,14,18,32
118966,11,18,29
118770,13,18,31
123307,13,18,31
123740,12,18,29
123493,13,19,32
124951,15,19,34
123147,13,19,32
123144,13,17,31
123999,13,19,32
122733,13,18,32
122668,13,18,31
124043,13,18,32
124063,13,19,32
124951,13,19,32
123505,11,19,30
123771,13,19,32
125358,14,18,33
123433,12,17,29
123811,14,18,32
118305,13,18,31
119370,14,18,32
122170,12,18,30
120582,13,18,31
2295.4956406799,0.9065270654571094,0.7663273567663702,1.1776622067956777
117632,11,17,29
125358,15,20,34
