CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
58772,5,6,11
3365.9452980494757,1.1666336890207927,1.1963317278057766,1.5524085477634342
53218,2,4,8
67482,8,8,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
57484,5,6,12
3108.2212328563733,0.8573187173944294,1.0450015867954692,1.0922373625455004
50985,4,4,9
65147,7,8,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
59186,5,8,14
711.2713174606206,1.0780555435605068,1.2706890499811803,0.9179982773299034
57052,3,5,12
60493,8,12,16
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
58772,5,6,11
3365.9452980494757,1.1666336890207927,1.1963317278057766,1.5524085477634342
53218,2,4,8
67482,8,8,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
57484,5,6,12
3108.2212328563733,0.8573187173944294,1.0450015867954692,1.0922373625455004
50985,4,4,9
65147,7,8,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
59186,5,8,14
711.2713174606206,1.0780555435605068,1.2706890499811803,0.9179982773299034
57052,3,5,12
60493,8,12,16
