CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
87568,34,35,69
1585.7067133791322,1.2970596764403175,1.3800673992489212,1.8348226973098116
86099,32,32,66
98501,38,38,73
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
97489,40,39,79
888.3604213533755,1.434954740117792,1.3679711361135392,1.7756604812463155
95695,36,37,72
101137,43,42,82
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
45265,26,24,50
222.5823262677407,1.4144311839120267,1.5814794511911487,1.859318077121652
44808,24,21,46
46042,30,28,55
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
87568,34,35,69
1585.7067133791322,1.2970596764403175,1.3800673992489212,1.8348226973098116
86099,32,32,66
98501,38,38,73
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
97489,40,39,79
888.3604213533755,1.434954740117792,1.3679711361135392,1.7756604812463155
95695,36,37,72
101137,43,42,82
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
45265,26,24,50
222.5823262677407,1.4144311839120267,1.5814794511911487,1.859318077121652
44808,24,21,46
46042,30,28,55
