CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
92841,7,6,13
3453.622143418503,1.2285713263166034,0.944765755637632,1.0331531132866985
86001,4,4,11
105242,10,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
93847,6,6,13
3228.6106672799856,0.9647527778854397,1.0590447910727416,1.0992596630049498
88104,5,4,9
103215,8,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
1557,7,7,14
52.327001751889625,1.059044791072742,0.8986841034993472,1.0720432363124341
1449,5,4,11
1677,10,9,16
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
92841,7,6,13
3453.622143418503,1.2285713263166034,0.944765755637632,1.0331531132866985
86001,4,4,11
105242,10,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
93847,6,6,13
3228.6106672799856,0.9647527778854397,1.0590447910727416,1.0992596630049498
88104,5,4,9
103215,8,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
1557,7,7,14
52.327001751889625,1.059044791072742,0.8986841034993472,1.0720432363124341
1449,5,4,11
1677,10,9,16
