CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
83069,33,31,64
681.9324577149819,1.6403274226674807,1.6450116729447077,1.8059100677133713
81864,28,27,57
86023,36,35,68
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
87631,35,36,70
628.2462220194298,1.7180446557677318,2.0217347776684833,2.682776821560039
86364,29,28,57
89159,38,39,74
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
44495,26,24,51
285.19650717879904,1.4362411184488404,1.9613062148294738,2.2248215023106304
43920,23,20,44
45055,29,28,55
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
83069,33,31,64
681.9324577149819,1.6403274226674807,1.6450116729447077,1.8059100677133713
81864,28,27,57
86023,36,35,68
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
87631,35,36,70
628.2462220194298,1.7180446557677318,2.0217347776684833,2.682776821560039
86364,29,28,57
89159,38,39,74
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
44495,26,24,51
285.19650717879904,1.4362411184488404,1.9613062148294738,2.2248215023106304
43920,23,20,44
45055,29,28,55
