CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
56915,5,6,11
3006.292502715027,0.9631562969340914,1.2626704712594095,1.3344870354902885
52405,3,3,8
65201,7,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
56395,5,6,12
2661.0963420099824,0.8890427690750824,1.1506953215302866,1.3509911093458562
49939,3,4,8
62035,7,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
57247,5,8,14
1083.7827331247106,0.898341551894183,1.027177625845926,0.9339530985407836
55286,3,6,11
60080,7,11,16
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
56915,5,6,11
3006.292502715027,0.9631562969340914,1.2626704712594095,1.3344870354902885
52405,3,3,8
65201,7,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
56395,5,6,12
2661.0963420099824,0.8890427690750824,1.1506953215302866,1.3509911093458562
49939,3,4,8
62035,7,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
57247,5,8,14
1083.7827331247106,0.898341551894183,1.027177625845926,0.9339530985407836
55286,3,6,11
60080,7,11,16
