CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
98610,6,6,12
3762.486002914813,0.9359283276034487,1.059916313473208,1.0651304727481083
90623,4,4,9
107348,8,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
98484,6,6,12
4422.801795650271,1.009953541377141,1.0160303323207198,1.0041465278073112
91853,4,4,10
108779,9,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
1654,6,6,12
67.78085557800995,1.0561345223363099,0.9065270654571095,1.0651304727481081
1543,3,4,11
1856,8,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
98610,6,6,12
3762.486002914813,0.9359283276034487,1.059916313473208,1.0651304727481083
90623,4,4,9
107348,8,9,14
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
98484,6,6,12
4422.801795650271,1.009953541377141,1.0160303323207198,1.0041465278073112
91853,4,4,10
108779,9,8,15
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
1654,6,6,12
67.78085557800995,1.0561345223363099,0.9065270654571095,1.0651304727481081
1543,3,4,11
1856,8,8,15
