CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
111139,13,19,31
1147.8759945487093,1.0090388662840983,0.879995523086628,1.2668075928796971
108261,10,17,28
113941,14,21,34
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
114440,13,18,31
746.5976397654182,1.1539006071863402,0.9296590385608258,1.6275180552012807
112023,9,17,27
115996,15,21,34
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
54871,15,17,32
803.4696194398895,0.8955964223228227,0.48237638894271995,0.8852263727398506
53237,12,17,30
57356,17,18,34
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
111139,13,19,31
1147.8759945487093,1.0090388662840983,0.879995523086628,1.2668075928796971
108261,10,17,28
113941,14,21,34
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
114440,13,18,31
746.5976397654182,1.1539006071863402,0.9296590385608258,1.6275180552012807
112023,9,17,27
115996,15,21,34
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
54871,15,17,32
803.4696194398895,0.8955964223228227,0.48237638894271995,0.8852263727398506
53237,12,17,30
57356,17,18,34
