CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
144656,10,17,27
968.3903221033177,1.7657526512401587,0.1312862240973312,1.5440589982939035
142364,7,16,23
145649,13,17,29
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
145126,10,17,27
965.2229391456676,1.7582413777357966,0.2625724481946624,1.5217718205053643
142541,7,15,24
147741,13,17,30
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
40645,17,4,21
1138.3679626307594,0.1312862240973312,0.8043433955331684,0.76068362767294
37548,16,2,19
41750,17,6,22
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
144656,10,17,27
968.3903221033177,1.7657526512401587,0.1312862240973312,1.5440589982939035
142364,7,16,23
145649,13,17,29
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
145126,10,17,27
965.2229391456676,1.7582413777357966,0.2625724481946624,1.5217718205053643
142541,7,15,24
147741,13,17,30
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
40645,17,4,21
1138.3679626307594,0.1312862240973312,0.8043433955331684,0.76068362767294
37548,16,2,19
41750,17,6,22
